,sneaker,price,brand,date
207,"['Air Force 1 Low', 'Dark Grey Cool Grey Red', 'Air Force 1 Low', 'Dark Grey Cool Grey Red']",150,air,['release: 09/07/2013']
208,"['Penny V', 'Highlighter', 'Penny V', 'Highlighter']",175,,['release: 09/07/2013']
209,['Air Griffey Max 1 Safari'],175,air,['release: 09/07/2013']
210,['Air Max 95 Premium Tape Neon'],200,air,['release: 09/07/2013']
211,"['Jordan 1 Retro', 'Human Highlight', 'Jordan 1 Retro', 'Human Highlight']",245,jordan,['release: 09/07/2013']
212,"['Kobe 8', 'Barcelona Tiger', 'Kobe 8', 'Barcelona Tiger']",250,kobe,['release: 09/07/2013']
213,"['LeBron X NSW', 'Black Sail', 'LeBron X NSW', 'Black Sail']",450,lebron,['release: 09/07/2013']
214,"['Air Max 1 SP', 'Clot ""Kiss of Death"" (2013)', 'Air Max 1 SP', 'Clot ""Kiss of Death"" (2013)']",795,air,['release: 09/07/2013']
215,"['Jordan 1 Mid', 'Fire Red Cement', 'Jordan 1 Mid', 'Fire Red Cement']",199,jordan,['release: 09/01/2013']
216,"['Jordan 5 Retro', 'Fire Red Black Tongue (2013)', 'Jordan 5 Retro', 'Fire Red Black Tongue (2013)']",220,jordan,['release: 08/31/2013']
217,['Air Foamposite One Weatherman'],300,air,['release: 08/31/2013']
218,"['Jordan 5 Retro', 'Fire Red Black Tongue 2013 (GS)', 'Jordan 5 Retro', 'Fire Red Black Tongue 2013 (GS)']",162,jordan,['release: 08/31/2013']
219,"['Jordan 5 Retro', 'Fire Red Black Tongue 2013 (PS)', 'Jordan 5 Retro', 'Fire Red Black Tongue 2013 (PS)']",86,jordan,['release: 08/31/2013']
220,['Jordan Son of Mars Low Green Glow'],120,jordan,['release: 08/31/2013']
221,"['Jordan 3 Retro', 'Black Atomic Red Volt (GS)', 'Jordan 3 Retro', 'Black Atomic Red Volt (GS)']",120,jordan,['release: 08/31/2013']
222,['Nike Free Trainer 5.0 Oregon'],145,nike,['release: 08/31/2013']
223,"['LeBron X Low', 'LeBroncurial', 'LeBron X Low', 'LeBroncurial']",146,lebron,['release: 08/31/2013']
224,['Nike Hyperdunk 2013 Kyrie Irving Australia PE'],190,kyrie,['release: 08/31/2013']
225,['Reebok Shaq Attaq Azure Blue'],113,reebok,['release: 08/30/2013']
226,"['adidas Pro Model II Big Sean ""All-Black""']",150,adidas,['release: 08/30/2013']
227,"['Nike Zoom Revis', 'TXT EXT Camo', 'Nike Zoom Revis', 'TXT EXT Camo']",165,nike,['release: 08/30/2013']
228,['Reebok Shaqnosis Barracks'],69,reebok,['release: 08/28/2013']
229,['Reebok Shaqnosis Steel'],100,reebok,['release: 08/28/2013']
230,"['Air Huarache', 'Size Grey Pink', 'Air Huarache', 'Size Grey Pink']",166,air,['release: 08/27/2013']
231,"['Jordan 4 Retro', 'Fear Pack', 'Jordan 4 Retro', 'Fear Pack']",385,jordan,['release: 08/24/2013']
232,"['Jordan 5 Retro', 'Fear Pack', 'Jordan 5 Retro', 'Fear Pack']",300,jordan,['release: 08/24/2013']
233,"['Kobe 8', 'Graffiti', 'Kobe 8', 'Graffiti']",235,kobe,['release: 08/24/2013']
234,"['Jordan 3 Retro', 'Fear Pack', 'Jordan 3 Retro', 'Fear Pack']",290,jordan,['release: 08/24/2013']
235,"['adidas Mutombo', 'OG (2013)', 'adidas Mutombo', 'OG (2013)']",100,adidas,['release: 08/24/2013']
236,['Li-Ning Way of Wade 2.5 Encore Gold Rush'],238,,['release: 08/24/2013']
237,['Reebok Instapump Fury Aape By a Bathing Ape'],449,reebok,['release: 08/24/2013']
238,['Li-Ning Way Of Wade Encore 1.5 Gold Rush'],500,,['release: 08/24/2013']
239,['Converse Chuck Taylor All-Star 70s Ox Clot x UNDFTD Black'],153,converse,['release: 08/23/2013']
240,['Reebok Question Mid #1 Draft Pick'],175,reebok,['release: 08/23/2013']
241,"['Jordan 4 Retro', 'Green Glow', 'Jordan 4 Retro', 'Green Glow']",291,jordan,['release: 08/17/2013']
242,"['Air Force 1 Low', 'Distance Blue Atomic Red', 'Air Force 1 Low', 'Distance Blue Atomic Red']",120,air,['release: 08/17/2013']
243,"['LeBron X Low', 'Watermelon', 'LeBron X Low', 'Watermelon']",140,lebron,['release: 08/17/2013']
244,"['KD 6', 'NYC 66', 'KD 6', 'NYC 66']",200,kd,['release: 08/17/2013']
245,['Reebok Kamikaze II Letter of Intent'],80,reebok,['release: 08/16/2013']
246,['Reebok Kamikaze II Sonics 95'],190,reebok,['release: 08/16/2013']
